test/test_benchmark.rb,test/benchmark_test.rb
lib/dalli/memcache_client_compatibility.rb,lib/dalli/compatibility.rb
test/sasldb,test/sasl/sasldb
test/test_server.rb,test/test_binary_protocol.rb,test/protocol/test_binary.rb
test/test_sasl.rb,test/integration/test_sasl.rb
History.md,CHANGELOG.md
