bin/keycloak-client-install,bin/keycloak-httpd-client-install
doc/keycloak-client-install.md,doc/keycloak-httpd-client-install.md
keycloak/__init__.py,keycloak_httpd_client/__init__.py
keycloak/keycloak_cli.py,keycloak_httpd_client/keycloak_cli.py,keycloak_httpd_client/keycloak_rest.py
rpm/keycloak-httpd-client.spec,rpm/keycloak-httpd-client-install.spec
bin/keycloak_cli.py,bin/keycloak-rest
