cm.h,include/cm.h
libsais.h,include/libsais.h
rle.h,include/rle.h
srt.h,include/srt.h
crc32.h,src/crc32.c
libsais.c,src/libsais.c
main.c,src/main.c
mtf.h,src/mtf.c
BENCHMARKS.md,etc/BENCHMARKS.md
Makefile.in,Makefile
.github/workflows/c-cpp.yml,.github/workflows/Ubuntu-x64.yml
unbzip3,bunzip3
unbzip3.1,bunzip3.1
etc/shakespeare.txt,examples/shakespeare.txt
bz3less.1,bz3less.1.in
bz3more.1,bz3more.1.in
bzip3.1,bzip3.1.in
libsais-LICENSE,3rdparty/libsais-LICENSE
