blocknewsletter.php,ps_emailsubscription.php
img/icon/index.php,views/templates/admin/index.php
views/templates/hook/blocknewsletter.tpl,views/templates/hook/ps_emailsubscription.tpl
upgrade/install-2.3.2.php,upgrade/install-2.4.0.php
Readme.md,README.md
tests/phpstan/phpstan-1.7.6.9.neon,tests/phpstan/phpstan-1.7.6.neon
tests/phpstan/phpstan-1.7.7.3.neon,tests/phpstan/phpstan-1.7.7.neon
upgrade/install-1-1.php,upgrade/install-1.1.0.php
upgrade/upgrade-2-3-0.php,upgrade/upgrade-2.3.0.php
