pdfio-write.c,pdfio-object.c
pdfio-read.c,pdfio-value.c
testpdfio.pdf,testfiles/testpdfio.pdf
pdfio.3,doc/pdfio.3
pdfio.html,doc/pdfio.html
pdfio.md,doc/pdfio.md
