cmake/AddAutotoolsDependency.cmake,cmake/utils.cmake
LICENSE,LICENSES/GPL-2.0-only.txt
tests/common.h,tests/unit/common.h
tests/test_database.c,tests/unit/test_database.c
tests/test_netstring.c,tests/unit/test_netstring.c
tests/test_sha1.c,tests/unit/test_sha1.c
tests/test_util.c,tests/unit/test_util.c
tests/blackbox/blackbox.py,tests/blackbox/socketmap.py
.github/workflows/musl.yml,.github/workflows/release.yml
