t/10dsnlist.t,t/10connect.t
t/insertid.t,t/31insertid.t
t/multi_statement.t,t/76multi_statement.t
t/texecute.t,t/32insert_error.t
t/prepare_noerror.t,t/40server_prepare_error.t
t/utf8.t,t/55utf8.t
t/warnings.t,t/29warnings.t
ChangeLog,Changes
t/40server_prepare_crash2.t,t/cve-2017-3302.t
