bin/es,bin/pyro-es
bin/es.bat,bin/pyro-es.cmd
bin/esd,bin/pyro-esd
bin/essvc.bat,bin/pyro-essvc.cmd
bin/genguid,bin/pyro-genguid
bin/genguid.bat,bin/pyro-genguid.cmd
bin/ns,bin/pyro-ns
bin/ns.bat,bin/pyro-ns.cmd
bin/nsc,bin/pyro-nsc
bin/nsc.bat,bin/pyro-nsc.cmd
bin/nsd,bin/pyro-nsd
bin/nssvc.bat,bin/pyro-nssvc.cmd
bin/rns,bin/pyro-rns
bin/rns.bat,bin/pyro-rns.cmd
bin/wxnsc,bin/pyro-wxnsc
bin/wxnsc.bat,bin/pyro-wxnsc.cmd
bin/xnsc,bin/pyro-xnsc
bin/xnsc.bat,bin/pyro-xnsc.cmd
