program/manual.xml,program/docs/manual.xml
program/plugins/nikto_sitezip.plugin,program/plugins/nikto_sitefiles.plugin
program/nikto.conf,program/nikto.conf.default
program/databases/db_headers,program/databases/db_headers_common
