MIME.pm,lib/Email/MIME.pm
t/att-1.gif,t/Mail/att-1.gif
t/joejob,t/Mail/joejob
t/mail-1,t/Mail/mail-1
t/mail-2,t/Mail/mail-2
t/1.t,t/basic.t
t/2.t,t/dispo.t
t/nested-parts.t,t/read-nested.t
t/perl-minver.t,xt/release/perl-minver.t
t/pod-coverage.t,xt/release/pod-coverage.t
t/pod.t,xt/release/pod.t
