penguin.jpg,data/penguin.jpg
teapot.ppm,data/teapot.ppm
fuzz-header.c,tests/fuzz-header.c
fuzz-jpg.c,tests/fuzz-jpg.c
fuzz-ppm.c,tests/fuzz-ppm.c
fuzz-text.c,tests/fuzz-text.c
main.c,tests/main.c
tests/fuzz-png.c,tests/fuzz-image-data.c
tests/fuzz-bmp.c,tests/fuzz-image-file.c
pdfgen.dox,docs/pdfgen.dox
pdfgen_logo.png,docs/pdfgen_logo.png
tests.sh,tests/tests.sh
