magic/Magdir/sgi,magic/Magdir/mips
magic/Magdir/wordperfect,magic/Magdir/wordprocessors
magic/Magdir/cvs,magic/Magdir/revision
magic/Magdir/bFLT,magic/Magdir/bflt
LEGAL.NOTICE,COPYING
configure.in,configure.ac
src/test.c,tests/test.c
src/magic.h,src/magic.h.in
magic/Magdir/gnome-keyring,magic/Magdir/gnome
README,README.md
visibility.m4,m4/visibility.m4
