HISTORY,Changelog
config/misccommands.cfg,config/misccommands.cfg.in
config/nagios.cfg,config/nagios.cfg.in
config/ndomod.cfg,config/ndomod.cfg-sample.in
configure.in,configure.ac
include/io.h,include/io.h.in
include/common.h,include/common.h.in
