.travis.yaml,.travis.yml
testdata/auth0_cert.pem,providertests/testdata/auth0_cert.pem
testdata/auth0_response.xml,providertests/testdata/auth0_response.xml
providers_test.go,providertests/utils.go
encrypted_key.go,types/encrypted_key.go
