lib/DJabberd/Auth.pm,lib/DJabberd/Authen.pm
lib/DJabberd/Auth/AllowedUsers.pm,lib/DJabberd/Authen/AllowedUsers.pm
lib/DJabberd/Auth/LiveJournal.pm,lib/DJabberd/Authen/LiveJournal.pm
lib/DJabberd/Auth/StaticPassword.pm,lib/DJabberd/Authen/StaticPassword.pm
etc/djabberd.log.default,etc/log.conf.default
lib/DJabberd/Component/External/Connection.pm,lib/DJabberd/Connection/ComponentIn.pm
djabberd.conf,examples/djabberd.conf
README,README.md
