tests/encrypted.iso,tests/encrypted.raw
lib/afflib.h,include/afflib/afflib.h
lib/afflib_i.h,include/afflib/afflib_i.h
lib/aftimer.h,include/afflib/aftimer.h
lib/utils.h,include/afflib/utils.h
.github/workflows/full-check.yml,.github/workflows/01_full-check.yml
