test/cors_test.rb,test/unit/cors_test.rb
test/dsl_test.rb,test/unit/dsl_test.rb
test/test.ru,test/unit/test.ru
CHANGELOG,CHANGELOG.md
examples/rack/rack.ru,examples/rack/config.ru
