libass/ass_cache_template.c,libass/ass_cache_template.h
libass/ass_directwrite.cpp,libass/ass_directwrite.c
libass/dwrite.h,libass/dwrite_c.h
libass/ass_rasterizer_c.c,libass/c/c_rasterizer.c
