mdast-html.js,remark-html.js
.mdastignore,.remarkignore
.mdastrc,.remarkrc
test/fixtures/xhtml/input.md,test/fixtures/self-closing/input.md
test/fixtures/xhtml/output.html,test/fixtures/self-closing/output.html
LICENSE,license
