pod2man.mk,man/pod2man.mk
lrzip.completion,bash_completion.d/lrzip
liblrzip.h,Lrzip.h
libzpaq501/libzpaq.3.pod,libzpaq/libzpaq.3.pod
libzpaq501/libzpaq.cpp,libzpaq/libzpaq.cpp
libzpaq501/libzpaq.h,libzpaq/libzpaq.h
lrzip.h,lrzip_core.h
