GPL,COPYING
config_parser.y,cfgfile_parser.y
config_scanner.l,cfgfile_scanner.l
configure.in,configure.ac
cygwin/cs2_hintd_win32.cs,cygwin/cs2hintd_fseh.cs
cygwin/monitor.c,cygwin/cs2monitor.c
csync2.conf,csync2.cfg
