Translate/Adapter/Translator.php,Translate/Adapter/Klear.php
Plugin/Init.php,Controller/Plugin/PublicTranslator.php
Model/PathFixer.php,Filter/PathFixer.php
Validate/Dni.php,Validate/Nif.php
pkg/debian/jessie/changelog,debian/changelog
pkg/debian/jessie/compat,debian/compat
pkg/debian/jessie/control,debian/control
pkg/debian/jessie/rules,debian/rules
pkg/debian/jessie/source.lintian-overrides,debian/source.lintian-overrides
