tests/rename34,tests/rename3
tests/version6,tests/version67
tests/ls45,tests/ls4
prepare,autogen.sh
.bzrignore,.gitignore
tests/mkdir3456,tests/mkdir3
tests/remove3456,tests/remove6
tests/truncate3456,tests/truncate6
getopt.h,gnu-include/getopt.h
